departure_day_of_week,scheduled_departure_utc,carrier,flight_number,origin_airport,destination_airport,arrival_delay_minutes,is_cancelled,scheduled_arrival_utc,observed_at_utc,event_time_utc,flight_id,callsign,latitude,longitude,altitude_ft,ground_speed_kts,heading_deg,on_ground,raw_payload,direction,dep_weather_temperature_c,dep_weather_dewpoint_c,dep_weather_humidity_pct,dep_weather_pressure_hpa,dep_weather_wind_kph,dep_weather_gust_kph,dep_weather_visibility_km,dep_weather_precip_mm,dep_weather_snow_mm,dep_weather_cloud_cover_pct,dep_weather_condition_code
4,2025-12-18 17:36:00+00:00,DL,2480,BWI,DTW,-14.0,0.0,2025-12-19T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-18T17:36:00Z,DL2480_2025-12-18T17:36:00Z,DL2480,,,,,,,,departure,7.0,-1.7,54,1023.6,5.6,17.3,,0.0,0.0,88,3
4,2025-12-18 15:19:00+00:00,DL,2480,DTW,BWI,-18.0,0.0,2025-12-19T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-18T15:19:00Z,DL2480_2025-12-18T15:19:00Z,DL2480,,,,,,,,arrival,3.7,-2.0,67,1025.7,4.5,13.7,,0.0,0.0,2,0
5,2025-12-19 17:36:00+00:00,DL,2480,BWI,DTW,26.0,0.0,2025-12-20T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-19T17:36:00Z,DL2480_2025-12-19T17:36:00Z,DL2480,,,,,,,,departure,11.6,4.6,62,998.7,20.8,46.1,,0.1,0.0,42,51
5,2025-12-19 15:19:00+00:00,DL,2480,DTW,BWI,4.0,0.0,2025-12-20T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-19T15:19:00Z,DL2480_2025-12-19T15:19:00Z,DL2480,,,,,,,,arrival,11.6,9.4,87,996.7,14.9,37.8,,0.5,0.0,100,53
6,2025-12-20 17:36:00+00:00,DL,2480,BWI,DTW,-13.0,0.0,2025-12-21T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-20T17:36:00Z,DL2480_2025-12-20T17:36:00Z,DL2480,,,,,,,,departure,2.8,-5.7,53,1024.2,6.1,18.4,,0.0,0.0,77,2
6,2025-12-20 15:19:00+00:00,DL,2480,DTW,BWI,-17.0,0.0,2025-12-21T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-20T15:19:00Z,DL2480_2025-12-20T15:19:00Z,DL2480,,,,,,,,arrival,0.2,-7.7,56,1026.5,2.8,11.9,,0.0,0.0,88,3
7,2025-12-21 17:36:00+00:00,DL,2480,BWI,DTW,150.0,0.0,2025-12-22T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-21T17:36:00Z,DL2480_2025-12-21T17:36:00Z,DL2480,,,,,,,,departure,7.1,-5.6,40,1022.0,21.0,46.1,,0.0,0.0,100,3
7,2025-12-21 15:19:00+00:00,DL,2480,DTW,BWI,152.0,0.0,2025-12-22T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-21T15:19:00Z,DL2480_2025-12-21T15:19:00Z,DL2480,,,,,,,,arrival,7.2,-3.3,47,1020.6,12.5,27.4,,0.0,0.0,100,3
1,2025-12-22 17:36:00+00:00,DL,2480,BWI,DTW,0.0,0.0,2025-12-23T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-22T17:36:00Z,DL2480_2025-12-22T17:36:00Z,DL2480,,,,,,,,departure,4.2,-11.7,31,1035.1,3.4,16.2,,0.0,0.0,13,0
1,2025-12-22 15:19:00+00:00,DL,2480,DTW,BWI,-17.0,0.0,2025-12-23T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-22T15:19:00Z,DL2480_2025-12-22T15:19:00Z,DL2480,,,,,,,,arrival,0.8,-10.4,43,1036.5,2.6,11.9,,0.0,0.0,1,0
2,2025-12-23 17:36:00+00:00,DL,2480,BWI,DTW,-2.0,0.0,2025-12-24T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-23T17:36:00Z,DL2480_2025-12-23T17:36:00Z,DL2480,,,,,,,,departure,4.7,2.0,82,1019.4,3.2,10.1,,0.0,0.0,100,3
2,2025-12-23 15:19:00+00:00,DL,2480,DTW,BWI,-20.0,0.0,2025-12-24T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-23T15:19:00Z,DL2480_2025-12-23T15:19:00Z,DL2480,,,,,,,,arrival,3.5,1.0,84,1022.1,5.6,16.9,,0.0,0.0,100,3
5,2025-12-26 17:36:00+00:00,DL,2480,BWI,DTW,14.0,0.0,2025-12-27T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-26T17:36:00Z,DL2480_2025-12-26T17:36:00Z,DL2480,,,,,,,,departure,0.1,-8.5,53,1021.8,8.9,22.0,,0.0,0.0,100,3
5,2025-12-26 15:19:00+00:00,DL,2480,DTW,BWI,-11.0,0.0,2025-12-27T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-26T15:19:00Z,DL2480_2025-12-26T15:19:00Z,DL2480,,,,,,,,arrival,-0.4,-8.8,53,1024.2,8.8,21.2,,0.0,0.0,98,3
6,2025-12-27 17:36:00+00:00,DL,2480,BWI,DTW,-10.0,0.0,2025-12-28T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-27T17:36:00Z,DL2480_2025-12-27T17:36:00Z,DL2480,,,,,,,,departure,4.1,-1.5,67,1019.1,8.4,20.9,,0.0,0.0,99,3
6,2025-12-27 15:19:00+00:00,DL,2480,DTW,BWI,-16.0,0.0,2025-12-28T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-27T15:19:00Z,DL2480_2025-12-27T15:19:00Z,DL2480,,,,,,,,arrival,2.4,-0.8,79,1019.4,8.7,19.8,,0.0,0.0,100,3
7,2025-12-28 17:36:00+00:00,DL,2480,BWI,DTW,,1.0,2025-12-29T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-28T17:36:00Z,DL2480_2025-12-28T17:36:00Z,DL2480,,,,,,,,departure,2.8,-1.2,75,1020.9,8.7,20.9,,0.0,0.0,100,3
7,2025-12-28 15:19:00+00:00,DL,2480,DTW,BWI,,1.0,2025-12-29T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-28T15:19:00Z,DL2480_2025-12-28T15:19:00Z,DL2480,,,,,,,,arrival,1.8,-1.8,77,1022.8,8.5,19.8,,0.0,0.0,100,3
1,2025-12-29 17:36:00+00:00,DL,2480,BWI,DTW,211.0,0.0,2025-12-30T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-29T17:36:00Z,DL2480_2025-12-29T17:36:00Z,DL2480,,,,,,,,departure,13.6,10.4,81,996.3,25.1,46.8,,0.4,0.0,96,51
1,2025-12-29 15:19:00+00:00,DL,2480,DTW,BWI,175.0,0.0,2025-12-30T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-29T15:19:00Z,DL2480_2025-12-29T15:19:00Z,DL2480,,,,,,,,arrival,12.6,10.9,90,996.7,17.0,38.9,,0.0,0.0,100,3
2,2025-12-30 17:36:00+00:00,DL,2480,BWI,DTW,-13.0,0.0,2025-12-31T12:51:00Z,2026-04-22T02:05:55+00:00,2025-12-30T17:36:00Z,DL2480_2025-12-30T17:36:00Z,DL2480,,,,,,,,departure,0.4,-11.2,41,1012.2,28.6,64.4,,0.0,0.0,78,2
2,2025-12-30 15:19:00+00:00,DL,2480,DTW,BWI,-7.0,0.0,2025-12-31T08:10:00Z,2026-04-22T02:05:55+00:00,2025-12-30T15:19:00Z,DL2480_2025-12-30T15:19:00Z,DL2480,,,,,,,,arrival,-0.4,-10.8,45,1013.1,24.6,65.5,,0.0,0.0,100,3
4,2025-12-18 11:42:00+00:00,DL,2526,BWI,MSP,-17.0,0.0,2025-12-19T01:12:00Z,2026-04-22T02:05:55+00:00,2025-12-18T11:42:00Z,DL2526_2025-12-18T11:42:00Z,DL2526,,,,,,,,departure,-0.6,-2.6,87,1024.5,6.4,11.2,,0.0,0.0,71,2
4,2025-12-18 07:05:00+00:00,DL,2526,MSP,BWI,-1.0,0.0,2025-12-18T17:49:00Z,2026-04-22T02:05:55+00:00,2025-12-18T07:05:00Z,DL2526_2025-12-18T07:05:00Z,DL2526,,,,,,,,arrival,-0.4,-3.5,80,1023.5,5.7,10.1,,0.0,0.0,58,2
5,2025-12-19 11:42:00+00:00,DL,2526,BWI,MSP,-12.0,0.0,2025-12-20T01:12:00Z,2026-04-22T02:05:55+00:00,2025-12-19T11:42:00Z,DL2526_2025-12-19T11:42:00Z,DL2526,,,,,,,,departure,11.9,11.6,98,998.2,28.6,70.9,,3.0,0.0,100,63
5,2025-12-19 07:05:00+00:00,DL,2526,MSP,BWI,4.0,0.0,2025-12-19T17:49:00Z,2026-04-22T02:05:55+00:00,2025-12-19T07:05:00Z,DL2526_2025-12-19T07:05:00Z,DL2526,,,,,,,,arrival,11.3,10.7,96,1006.6,22.5,42.5,,0.9,0.0,100,53
4,2025-12-18 08:04:00+00:00,DL,2562,BWI,ATL,10.0,0.0,2025-12-18T18:17:00Z,2026-04-22T02:05:55+00:00,2025-12-18T08:04:00Z,DL2562_2025-12-18T08:04:00Z,DL2562,,,,,,,,departure,-0.6,-3.5,81,1023.7,6.1,9.0,,0.0,0.0,32,1
5,2025-12-19 08:04:00+00:00,DL,2562,BWI,ATL,8.0,0.0,2025-12-19T18:17:00Z,2026-04-22T02:05:55+00:00,2025-12-19T08:04:00Z,DL2562_2025-12-19T08:04:00Z,DL2562,,,,,,,,departure,12.0,11.4,96,1004.8,27.6,51.5,,1.9,0.0,100,61
6,2025-12-20 08:15:00+00:00,DL,2562,BWI,ATL,0.0,0.0,2025-12-20T18:42:00Z,2026-04-22T02:05:55+00:00,2025-12-20T08:15:00Z,DL2562_2025-12-20T08:15:00Z,DL2562,,,,,,,,departure,-2.0,-9.6,56,1021.9,10.5,23.8,,0.0,0.0,0,0
7,2025-12-21 08:15:00+00:00,DL,2562,BWI,ATL,-4.0,0.0,2025-12-21T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-21T08:15:00Z,DL2562_2025-12-21T08:15:00Z,DL2562,,,,,,,,departure,3.8,-3.0,61,1016.3,12.3,30.6,,0.0,0.0,9,0
1,2025-12-22 08:15:00+00:00,DL,2562,BWI,ATL,-17.0,0.0,2025-12-22T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-22T08:15:00Z,DL2562_2025-12-22T08:15:00Z,DL2562,,,,,,,,departure,-2.4,-7.6,67,1034.1,5.4,11.2,,0.0,0.0,0,0
2,2025-12-23 08:15:00+00:00,DL,2562,BWI,ATL,-18.0,0.0,2025-12-23T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-23T08:15:00Z,DL2562_2025-12-23T08:15:00Z,DL2562,,,,,,,,departure,3.2,-3.5,61,1027.4,9.1,21.6,,0.0,0.0,100,3
3,2025-12-24 08:15:00+00:00,DL,2562,BWI,ATL,-24.0,0.0,2025-12-24T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-24T08:15:00Z,DL2562_2025-12-24T08:15:00Z,DL2562,,,,,,,,departure,5.2,3.2,86,1016.7,8.0,13.7,,0.0,0.0,5,0
4,2025-12-25 08:15:00+00:00,DL,2562,BWI,ATL,-38.0,0.0,2025-12-25T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-25T08:15:00Z,DL2562_2025-12-25T08:15:00Z,DL2562,,,,,,,,departure,2.5,-1.2,76,1023.7,5.3,9.7,,0.0,0.0,99,3
5,2025-12-26 08:15:00+00:00,DL,2562,BWI,ATL,-24.0,0.0,2025-12-26T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-26T08:15:00Z,DL2562_2025-12-26T08:15:00Z,DL2562,,,,,,,,departure,-0.1,-7.3,58,1023.5,10.9,23.8,,0.0,0.0,90,3
6,2025-12-27 08:15:00+00:00,DL,2562,BWI,ATL,-8.0,0.0,2025-12-27T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-27T08:15:00Z,DL2562_2025-12-27T08:15:00Z,DL2562,,,,,,,,departure,0.6,-0.9,90,1011.0,8.8,16.2,,0.0,0.0,100,3
7,2025-12-28 08:15:00+00:00,DL,2562,BWI,ATL,,1.0,2025-12-28T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-28T08:15:00Z,DL2562_2025-12-28T08:15:00Z,DL2562,,,,,,,,departure,0.4,-1.4,88,1024.2,2.7,4.7,,0.0,0.0,100,3
1,2025-12-29 08:15:00+00:00,DL,2562,BWI,ATL,-10.0,0.0,2025-12-29T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-29T08:15:00Z,DL2562_2025-12-29T08:15:00Z,DL2562,,,,,,,,departure,9.1,7.7,91,1003.0,19.8,40.3,,0.0,0.0,100,3
2,2025-12-30 08:15:00+00:00,DL,2562,BWI,ATL,-19.0,0.0,2025-12-30T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-30T08:15:00Z,DL2562_2025-12-30T08:15:00Z,DL2562,,,,,,,,departure,-1.5,-10.2,52,1009.2,19.8,54.4,,0.0,0.0,24,1
3,2025-12-31 08:15:00+00:00,DL,2562,BWI,ATL,-32.0,0.0,2025-12-31T18:39:00Z,2026-04-22T02:05:55+00:00,2025-12-31T08:15:00Z,DL2562_2025-12-31T08:15:00Z,DL2562,,,,,,,,departure,-3.3,-10.9,56,1013.8,10.9,23.8,,0.0,0.0,100,3
4,2025-12-18 07:02:00+00:00,DL,2579,BWI,ATL,-4.0,0.0,2025-12-18T16:11:00Z,2026-04-22T02:05:55+00:00,2025-12-18T07:02:00Z,DL2579_2025-12-18T07:02:00Z,DL2579,,,,,,,,departure,-0.4,-3.5,80,1023.5,5.7,10.1,,0.0,0.0,58,2
5,2025-12-19 07:02:00+00:00,DL,2579,BWI,ATL,8.0,0.0,2025-12-19T16:15:00Z,2026-04-22T02:05:55+00:00,2025-12-19T07:02:00Z,DL2579_2025-12-19T07:02:00Z,DL2579,,,,,,,,departure,11.3,10.7,96,1006.6,22.5,42.5,,0.9,0.0,100,53
6,2025-12-20 07:05:00+00:00,DL,2579,BWI,ATL,-18.0,0.0,2025-12-20T16:24:00Z,2026-04-22T02:05:55+00:00,2025-12-20T07:05:00Z,DL2579_2025-12-20T07:05:00Z,DL2579,,,,,,,,departure,-1.1,-9.1,55,1020.8,11.6,33.1,,0.0,0.0,12,0
7,2025-12-21 07:05:00+00:00,DL,2579,BWI,ATL,-9.0,0.0,2025-12-21T16:24:00Z,2026-04-22T02:05:55+00:00,2025-12-21T07:05:00Z,DL2579_2025-12-21T07:05:00Z,DL2579,,,,,,,,departure,4.2,-2.9,60,1016.2,15.4,32.4,,0.0,0.0,32,1
