departure_day_of_week,carrier,origin_airport,destination_airport,arrival_delay_minutes,is_cancelled,direction,dep_weather_temperature_c,dep_weather_dewpoint_c,dep_weather_humidity_pct,dep_weather_pressure_hpa,dep_weather_wind_kph,dep_weather_gust_kph,dep_weather_precip_mm,dep_weather_snow_mm,dep_weather_cloud_cover_pct,dep_weather_condition_code,dep_hour,dep_month,dep_day_of_month,is_delayed
4,DL,BWI,DTW,-14.0,0,departure,7.0,-1.7,54,1023.6,5.6,17.3,0.0,0.0,88,3,17,12,18,0.0
4,DL,DTW,BWI,-18.0,0,arrival,3.7,-2.0,67,1025.7,4.5,13.7,0.0,0.0,2,0,15,12,18,0.0
5,DL,BWI,DTW,26.0,0,departure,11.6,4.6,62,998.7,20.8,46.1,0.1,0.0,42,51,17,12,19,1.0
5,DL,DTW,BWI,4.0,0,arrival,11.6,9.4,87,996.7,14.9,37.8,0.5,0.0,100,53,15,12,19,0.0
6,DL,BWI,DTW,-13.0,0,departure,2.8,-5.7,53,1024.2,6.1,18.4,0.0,0.0,77,2,17,12,20,0.0
6,DL,DTW,BWI,-17.0,0,arrival,0.2,-7.7,56,1026.5,2.8,11.9,0.0,0.0,88,3,15,12,20,0.0
7,DL,BWI,DTW,150.0,0,departure,7.1,-5.6,40,1022.0,21.0,46.1,0.0,0.0,100,3,17,12,21,1.0
7,DL,DTW,BWI,152.0,0,arrival,7.2,-3.3,47,1020.6,12.5,27.4,0.0,0.0,100,3,15,12,21,1.0
1,DL,BWI,DTW,0.0,0,departure,4.2,-11.7,31,1035.1,3.4,16.2,0.0,0.0,13,0,17,12,22,0.0
1,DL,DTW,BWI,-17.0,0,arrival,0.8,-10.4,43,1036.5,2.6,11.9,0.0,0.0,1,0,15,12,22,0.0
2,DL,BWI,DTW,-2.0,0,departure,4.7,2.0,82,1019.4,3.2,10.1,0.0,0.0,100,3,17,12,23,0.0
2,DL,DTW,BWI,-20.0,0,arrival,3.5,1.0,84,1022.1,5.6,16.9,0.0,0.0,100,3,15,12,23,0.0
5,DL,BWI,DTW,14.0,0,departure,0.1,-8.5,53,1021.8,8.9,22.0,0.0,0.0,100,3,17,12,26,0.0
5,DL,DTW,BWI,-11.0,0,arrival,-0.4,-8.8,53,1024.2,8.8,21.2,0.0,0.0,98,3,15,12,26,0.0
6,DL,BWI,DTW,-10.0,0,departure,4.1,-1.5,67,1019.1,8.4,20.9,0.0,0.0,99,3,17,12,27,0.0
6,DL,DTW,BWI,-16.0,0,arrival,2.4,-0.8,79,1019.4,8.7,19.8,0.0,0.0,100,3,15,12,27,0.0
7,DL,BWI,DTW,,1,departure,2.8,-1.2,75,1020.9,8.7,20.9,0.0,0.0,100,3,17,12,28,
7,DL,DTW,BWI,,1,arrival,1.8,-1.8,77,1022.8,8.5,19.8,0.0,0.0,100,3,15,12,28,
1,DL,BWI,DTW,211.0,0,departure,13.6,10.4,81,996.3,25.1,46.8,0.4,0.0,96,51,17,12,29,1.0
1,DL,DTW,BWI,175.0,0,arrival,12.6,10.9,90,996.7,17.0,38.9,0.0,0.0,100,3,15,12,29,1.0
2,DL,BWI,DTW,-13.0,0,departure,0.4,-11.2,41,1012.2,28.6,64.4,0.0,0.0,78,2,17,12,30,0.0
2,DL,DTW,BWI,-7.0,0,arrival,-0.4,-10.8,45,1013.1,24.6,65.5,0.0,0.0,100,3,15,12,30,0.0
4,DL,BWI,MSP,-17.0,0,departure,-0.6,-2.6,87,1024.5,6.4,11.2,0.0,0.0,71,2,11,12,18,0.0
4,DL,MSP,BWI,-1.0,0,arrival,-0.4,-3.5,80,1023.5,5.7,10.1,0.0,0.0,58,2,7,12,18,0.0
5,DL,BWI,MSP,-12.0,0,departure,11.9,11.6,98,998.2,28.6,70.9,3.0,0.0,100,63,11,12,19,0.0
5,DL,MSP,BWI,4.0,0,arrival,11.3,10.7,96,1006.6,22.5,42.5,0.9,0.0,100,53,7,12,19,0.0
4,DL,BWI,ATL,10.0,0,departure,-0.6,-3.5,81,1023.7,6.1,9.0,0.0,0.0,32,1,8,12,18,0.0
5,DL,BWI,ATL,8.0,0,departure,12.0,11.4,96,1004.8,27.6,51.5,1.9,0.0,100,61,8,12,19,0.0
6,DL,BWI,ATL,0.0,0,departure,-2.0,-9.6,56,1021.9,10.5,23.8,0.0,0.0,0,0,8,12,20,0.0
7,DL,BWI,ATL,-4.0,0,departure,3.8,-3.0,61,1016.3,12.3,30.6,0.0,0.0,9,0,8,12,21,0.0
1,DL,BWI,ATL,-17.0,0,departure,-2.4,-7.6,67,1034.1,5.4,11.2,0.0,0.0,0,0,8,12,22,0.0
2,DL,BWI,ATL,-18.0,0,departure,3.2,-3.5,61,1027.4,9.1,21.6,0.0,0.0,100,3,8,12,23,0.0
3,DL,BWI,ATL,-24.0,0,departure,5.2,3.2,86,1016.7,8.0,13.7,0.0,0.0,5,0,8,12,24,0.0
4,DL,BWI,ATL,-38.0,0,departure,2.5,-1.2,76,1023.7,5.3,9.7,0.0,0.0,99,3,8,12,25,0.0
5,DL,BWI,ATL,-24.0,0,departure,-0.1,-7.3,58,1023.5,10.9,23.8,0.0,0.0,90,3,8,12,26,0.0
6,DL,BWI,ATL,-8.0,0,departure,0.6,-0.9,90,1011.0,8.8,16.2,0.0,0.0,100,3,8,12,27,0.0
7,DL,BWI,ATL,,1,departure,0.4,-1.4,88,1024.2,2.7,4.7,0.0,0.0,100,3,8,12,28,
1,DL,BWI,ATL,-10.0,0,departure,9.1,7.7,91,1003.0,19.8,40.3,0.0,0.0,100,3,8,12,29,0.0
2,DL,BWI,ATL,-19.0,0,departure,-1.5,-10.2,52,1009.2,19.8,54.4,0.0,0.0,24,1,8,12,30,0.0
3,DL,BWI,ATL,-32.0,0,departure,-3.3,-10.9,56,1013.8,10.9,23.8,0.0,0.0,100,3,8,12,31,0.0
4,DL,BWI,ATL,-4.0,0,departure,-0.4,-3.5,80,1023.5,5.7,10.1,0.0,0.0,58,2,7,12,18,0.0
5,DL,BWI,ATL,8.0,0,departure,11.3,10.7,96,1006.6,22.5,42.5,0.9,0.0,100,53,7,12,19,0.0
6,DL,BWI,ATL,-18.0,0,departure,-1.1,-9.1,55,1020.8,11.6,33.1,0.0,0.0,12,0,7,12,20,0.0
7,DL,BWI,ATL,-9.0,0,departure,4.2,-2.9,60,1016.2,15.4,32.4,0.0,0.0,32,1,7,12,21,0.0
1,DL,BWI,ATL,4.0,0,departure,-2.1,-7.8,65,1033.5,5.9,12.2,0.0,0.0,0,0,7,12,22,0.0
2,DL,BWI,ATL,-26.0,0,departure,2.8,-4.0,61,1027.9,9.8,18.4,0.0,0.0,100,3,7,12,23,0.0
3,DL,BWI,ATL,-8.0,0,departure,4.7,2.0,83,1016.3,6.5,15.1,0.0,0.0,6,0,7,12,24,0.0
4,DL,BWI,ATL,-22.0,0,departure,2.2,-0.8,81,1024.5,3.3,7.9,0.0,0.0,100,3,7,12,25,0.0
5,DL,BWI,ATL,-16.0,0,departure,0.6,-7.2,56,1023.2,11.8,25.9,0.0,0.0,52,2,7,12,26,0.0
6,DL,BWI,ATL,-8.0,0,departure,1.5,-0.1,89,1009.8,6.0,10.8,0.0,0.0,9,0,7,12,27,0.0
7,DL,BWI,ATL,4.0,0,departure,0.3,-1.6,87,1024.4,0.7,4.7,0.0,0.0,100,3,7,12,28,0.0
1,DL,BWI,ATL,-6.0,0,departure,8.1,6.7,91,1004.6,18.8,37.8,0.0,0.0,100,3,7,12,29,0.0
2,DL,BWI,ATL,4.0,0,departure,-0.6,-9.9,50,1008.7,25.8,58.0,0.0,0.0,42,1,7,12,30,0.0
3,DL,BWI,ATL,-25.0,0,departure,-3.5,-10.9,57,1014.0,11.5,28.4,0.0,0.0,100,3,7,12,31,0.0
4,DL,ATL,BWI,-14.0,0,arrival,6.1,3.0,81,1019.3,9.0,20.5,0.0,0.0,100,3,22,12,18,0.0
5,DL,ATL,BWI,50.0,0,arrival,4.8,-4.6,51,1007.1,27.4,64.8,0.0,0.0,70,2,22,12,19,1.0
6,DL,ATL,BWI,67.0,0,arrival,1.4,-3.7,69,1020.3,10.8,22.0,0.0,0.0,8,0,22,12,20,1.0
7,DL,ATL,BWI,2.0,0,arrival,5.2,-5.4,46,1025.9,16.5,42.1,0.0,0.0,4,0,22,12,21,0.0
1,DL,ATL,BWI,-12.0,0,arrival,0.6,-4.2,70,1033.0,6.2,10.8,0.0,0.0,76,2,22,12,22,0.0
2,DL,ATL,BWI,-1.0,0,arrival,5.8,3.1,83,1017.0,5.5,10.4,0.0,0.0,95,3,22,12,23,0.0
3,DL,ATL,BWI,-10.0,0,arrival,6.8,-0.4,60,1025.2,6.0,15.8,0.0,0.0,100,3,22,12,24,0.0
4,DL,ATL,BWI,-5.0,0,arrival,9.9,2.6,60,1015.4,11.9,22.7,0.0,0.0,100,3,22,12,25,0.0
5,DL,ATL,BWI,4.0,0,arrival,0.6,-4.3,70,1015.5,15.8,30.6,0.4,0.0,100,51,22,12,26,0.0
6,DL,ATL,BWI,44.0,0,arrival,1.4,-2.5,76,1021.5,5.2,15.5,0.0,0.0,65,2,22,12,27,1.0
7,DL,ATL,BWI,,1,arrival,4.2,1.0,79,1016.1,9.1,18.0,0.0,0.0,100,3,22,12,28,
1,DL,ATL,BWI,143.0,0,arrival,4.2,-5.8,48,1002.4,32.4,75.6,0.0,0.0,55,2,22,12,29,1.0
2,DL,ATL,BWI,0.0,0,arrival,-0.9,-10.1,50,1012.7,21.4,50.4,0.0,0.0,99,3,22,12,30,0.0
3,DL,ATL,BWI,-6.0,0,arrival,0.8,-7.6,54,1010.2,9.0,28.8,0.0,0.0,100,3,22,12,31,0.0
4,DL,BWI,DTW,-16.0,0,departure,-0.8,-4.1,78,1023.6,3.5,2.9,0.0,0.0,47,1,6,12,18,0.0
5,DL,BWI,DTW,,1,departure,10.9,10.2,96,1008.4,19.9,38.2,0.6,0.0,100,53,6,12,19,
6,DL,BWI,DTW,-6.0,0,departure,-0.2,-8.2,54,1020.2,16.2,38.2,0.0,0.0,53,2,6,12,20,0.0
7,DL,BWI,DTW,,1,departure,4.2,-2.4,62,1016.2,16.5,34.6,0.0,0.0,16,0,6,12,21,
1,DL,BWI,DTW,58.0,0,departure,-1.8,-7.9,63,1032.7,6.5,18.0,0.0,0.0,0,0,6,12,22,1.0
2,DL,BWI,DTW,4.0,0,departure,2.4,-4.7,59,1028.3,9.3,16.6,0.0,0.0,100,3,6,12,23,0.0
3,DL,BWI,DTW,-7.0,0,departure,4.6,1.6,81,1015.8,8.0,13.7,0.1,0.0,22,51,6,12,24,0.0
